"pelicula_id","pelicula_titulo","attachment_id","imagen_url","nombre_archivo"
"416","Cita en las estrellas","172851","https://cinenacional.com/wp-content/uploads/2022/11/0000009964-1.jpg","0000009964-1.jpg"
"1656","La revolución","171637","https://cinenacional.com/wp-content/uploads/2022/11/0000016360-1.jpg","0000016360-1.jpg"
"1905","Sola","164869","https://cinenacional.com/wp-content/uploads/2022/11/0000068313-1.jpg","0000068313-1.jpg"
"4091","Las Vegas","166485","https://cinenacional.com/wp-content/uploads/2022/11/0000052251-3.jpg","0000052251-3.jpg"
"5065","Miedo","169063","https://cinenacional.com/wp-content/uploads/2022/11/0000039004-3.jpg","0000039004-3.jpg"
"5282","7 PM","169627","https://cinenacional.com/wp-content/uploads/2022/11/0000036015-1.jpg","0000036015-1.jpg"
"7366","El gran río","168365","https://cinenacional.com/wp-content/uploads/2022/11/0000042326-1.jpg","0000042326-1.jpg"
"7367","El etnógrafo","168363","https://cinenacional.com/wp-content/uploads/2022/11/0000042340-1.jpg","0000042340-1.jpg"
"7374","Noelia","168361","https://cinenacional.com/wp-content/uploads/2022/11/0000042351-1.jpg","0000042351-1.jpg"
"7381","Memoria para reincidentes","168359","https://cinenacional.com/wp-content/uploads/2022/11/0000042388-1.jpg","0000042388-1.jpg"
"7389","Pude ver un puma","168357","https://cinenacional.com/wp-content/uploads/2022/11/0000042416-1.jpg","0000042416-1.jpg"
"7413","Villegas","168353","https://cinenacional.com/wp-content/uploads/2022/11/0000042455-1.jpeg","0000042455-1.jpeg"
"7418","Ante la ley","168347","https://cinenacional.com/wp-content/uploads/2022/11/0000042463-1.jpg","0000042463-1.jpg"
"7422","Tupac Amaru. Algo está cambiando","168345","https://cinenacional.com/wp-content/uploads/2022/11/0000042471-1.jpg","0000042471-1.jpg"
"7430","Civilización","168341","https://cinenacional.com/wp-content/uploads/2022/11/0000042520-1.jpg","0000042520-1.jpg"
"7432","Corta","165533","https://cinenacional.com/wp-content/uploads/2022/11/0000059725-1.jpg","0000059725-1.jpg"
"7437","Tiempo muerto","166851","https://cinenacional.com/wp-content/uploads/2022/11/0000050429-1.jpg","0000050429-1.jpg"
"7440","Darío Santillán, la dignidad rebelde","168331","https://cinenacional.com/wp-content/uploads/2022/11/0000042565-1.jpg","0000042565-1.jpg"
"7464","Caperucita roja","164865","https://cinenacional.com/wp-content/uploads/2022/11/0000068319-1.jpg","0000068319-1.jpg"
"7887","Un poco de mí","167859","https://cinenacional.com/wp-content/uploads/2022/11/0000044962-1.jpg","0000044962-1.jpg"
"8166","Si estoy perdido, no es grave","167597","https://cinenacional.com/wp-content/uploads/2022/11/0000046461-3.jpg","0000046461-3.jpg"
"8750","'87","166905","https://cinenacional.com/wp-content/uploads/2022/11/0000050163-1.jpg","0000050163-1.jpg"
"8906","5 AM","166685","https://cinenacional.com/wp-content/uploads/2022/11/0000051428-1.jpg","0000051428-1.jpg"
