persona_id,persona_nombre,imagen_url,post_status,thumbnail_id,mime_type
153164,"Nelly Meden","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010363.jpg",publish,153165,"image/jpeg"
153197,"Pajarito Zaguri","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010354.jpg",publish,153198,"image/jpeg"
153236,"Dino Ramos","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010345.jpg",publish,153237,"image/jpeg"
153238,"Leo Dan","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010342.jpg",publish,153239,"image/jpeg"
153241,"Nacha Guevara","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010339.jpg",publish,153242,"image/jpeg"
153245,"Ricardo Espalter","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010330.jpg",publish,153246,"image/jpeg"
153270,"Marcelo Alfaro","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000065132.jpg",publish,153271,"image/jpeg"
153288,"Isabel Salomón","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010314.jpg",publish,153289,"image/jpeg"
153302,"Mimí Ardú","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010311.jpg",publish,153303,"image/jpeg"
153309,"Germán Kraus","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010275.jpg",publish,153310,"image/jpeg"
153330,"Germán Palacios","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010259.jpg",publish,153331,"image/jpeg"
153338,"Rosario Bléfari","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010214.jpg",publish,153339,"image/jpeg"
153341,"Raúl de la Torre","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010205.jpg",publish,153342,"image/jpeg"
153345,"José Luis Gioia","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010202.jpg",publish,153346,"image/jpeg"
153356,"Carlos Russo","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010197.jpg",publish,153357,"image/jpeg"
153358,"Cris Morena","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010194.jpg",publish,153359,"image/jpeg"
153384,"Jorge Rossi","http://nuevo.cinenacional.com/wp-content/uploads/2018/10/0000060340.jpg",publish,45361,"image/jpeg"
153406,"Fabio Zerpa","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010179.jpg",publish,153407,"image/jpeg"
153408,"Jolly Land","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010176.jpg",publish,153409,"image/jpeg"
153410,"Alfredo Barbieri","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010173.jpg",publish,153411,"image/jpeg"
153414,"Tito Mendoza","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010168.jpg",publish,153415,"image/jpeg"
153416,"Ulises Butrón","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000053487.jpg",publish,153417,"image/jpeg"
153418,"Rep","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010163.jpg",publish,153419,"image/jpeg"
153422,"Juan Vitali","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010160.jpg",publish,153423,"image/jpeg"
153424,"Jean-Pierre Noher","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010154.jpg",publish,153425,"image/jpeg"
153426,"Edda Bustamante","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010028.jpg",publish,153427,"image/jpeg"
153437,"Antonio Gasalla","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000010017.jpg",publish,153438,"image/jpeg"
153450,"Félix Monti","https://cinenacional.com/wp-content/uploads/2018/10/Cmonti-1.jpg",publish,162278,"image/jpeg"
153451,"Rolando Revagliatti","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000065051.jpg",publish,153452,"image/jpeg"
153454,"Edgardo Cozarinsky","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009993.jpg",publish,153455,"image/jpeg"
153466,"Miguel Briante","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009978.jpg",publish,153467,"image/jpeg"
153468,"Gabriel Senanes","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000065117.jpg",publish,153469,"image/jpeg"
153487,"Alberto Benegas","https://cinenacional.com/wp-content/uploads/2018/10/abenegas.jpg",publish,184866,"image/jpeg"
153491,"Bernardo Verbitsky","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009957.jpg",publish,153492,"image/jpeg"
153519,"Pablo Verón","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009952.jpg",publish,153520,"image/jpeg"
153521,"Alejandro Urdapilleta","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009949.jpg",publish,153522,"image/jpeg"
153526,"Inés Estévez","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009910.jpg",publish,153527,"image/jpeg"
153531,"Amadeo Carrizo","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009858.jpg",publish,153532,"image/jpeg"
153534,"Guy Montana","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009855.jpg",publish,153535,"image/jpeg"
153559,"Carlos Perciavalle","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009844.jpg",publish,153560,"image/jpeg"
153561,"Teresa Blasco","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009835.jpg",publish,153562,"image/jpeg"
153565,"Julio Cortázar","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009828.jpg",publish,153566,"image/jpeg"
153571,"Ricardo Talesnik","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000059052.jpg",publish,153572,"image/jpeg"
153573,"Claudio Torres","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000062785.jpg",publish,153574,"image/jpeg"
153575,"Iván Moschner","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000059445.jpg",publish,153576,"image/jpeg"
153579,"Alejandra Flechner","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000063574.jpg",publish,153580,"image/jpeg"
153582,"Verónica Llinás","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009778.jpg",publish,153583,"image/jpeg"
153585,"Norma Aleandro","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009718.jpg",publish,153586,"image/jpeg"
153587,"Alejandro Doria","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009610.jpg",publish,153588,"image/jpeg"
153597,"Américo Tesorieri","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009602.jpg",publish,153598,"image/jpeg"
153603,"Lois Blue","https://cinenacional.com/wp-content/uploads/2018/10/lois-blue-1.jpg",publish,162319,"image/jpeg"
153627,"Luis Mazzeo","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000065240.jpg",publish,153628,"image/jpeg"
153631,"Marita Ballesteros","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009599.jpg",publish,153632,"image/jpeg"
153633,"Norberto Díaz","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009596.jpg",publish,153634,"image/jpeg"
153636,"Jorge Coscia","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009590.jpg",publish,153637,"image/jpeg"
153644,"Lola Membrives","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009564.jpg",publish,153645,"image/jpeg"
153722,"Vera Czemerinski","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000064012.jpg",publish,153723,"image/jpeg"
153727,"María Socas","https://cinenacional.com/wp-content/uploads/2018/10/msocas.jpg",publish,196865,"image/jpeg"
153732,"Juan Carlos Baglietto","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009498.jpg",publish,153733,"image/jpeg"
153745,"Emilia Mazer","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009489.jpg",publish,153746,"image/jpeg"
153747,"Eduardo Pavlovsky","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009486.jpg",publish,153748,"image/jpeg"
153754,"Adriana Aguirre","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009452.jpg",publish,153755,"image/jpeg"
153769,"Perla Caron","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009447.jpg",publish,153770,"image/jpeg"
