movie_id,movie_title,movie_year,person_id,person_first_name,person_last_name,death_year,years_difference,work_type
8162,"El escarabajo de oro",2014,150983,"Robert","Louis Stevenson",1894,120,crew
5454,"A propósito de Buenos Aires",2007,149099,"Domingo","Faustino Sarmiento",1888,119,crew
768,"Donde mueren las palabras",1946,156929,"Ludwig","van Beethoven",1827,119,crew
8162,"El escarabajo de oro",2014,113818,"Leandro","N. Alem",1896,118,crew
2853,"La sombra",2015,147965,"Georges","Rodenbach",1898,117,crew
132,"Apasionadamente",1944,156929,"Ludwig","van Beethoven",1827,117,crew
10259,"¡El archiduque debe morir!",2021,108868,"Antonín","Dvořák",1904,117,crew
8564,"Buscamos vida, los crímenes del ejército argentino en Campo de Mayo",2013,152725,"Johannes","Brahms",1897,116,crew
889,"La herencia",2008,153824,"Guy","de Maupassant",1893,115,crew
420,"Claro de luna",1942,156929,"Ludwig","van Beethoven",1827,115,crew
1610,"Las ratas",1963,154103,"Frédéric","Chopin",1849,114,crew
9307,"Trainspotter",2017,108868,"Antonín","Dvořák",1904,113,crew
1199,"El marido perfecto",1993,149470,"Fiodor","Dostoievsky",1881,112,crew
2406,"Obras maestras del terror",1960,143725,"Edgar","Allan Poe",1849,111,crew
450,"Concierto para una lágrima",1955,153166,"Félix","Mendelssohn",1847,108,crew
1876,"Sinfonía de juventud",1955,153166,"Félix","Mendelssohn",1847,108,crew
614,"Enigma de mujer",1956,154103,"Frédéric","Chopin",1849,107,crew
2035,"Viento norte",2020,151202,"Lucio","V. Mansilla",1913,107,crew
1610,"Las ratas",1963,152463,"Robert","Schumann",1856,107,crew
3447,"Safo",2003,156157,"Alphonse","Daudet",1897,106,crew
450,"Concierto para una lágrima",1955,154103,"Frédéric","Chopin",1849,106,crew
1350,"Pájaros de cristal",1955,154103,"Frédéric","Chopin",1849,106,crew
6844,"Si se pudiera saber...",2009,143659,"Antón","Chéjov",1904,105,crew
6346,"La tristeza",2007,143659,"Antón","Chéjov",1904,103,crew
1214,"Martín Fierro",1989,149762,"José","Hernández",1886,103,crew
1214,"Martín Fierro",1989,149762,"José","Hernández",1886,103,crew
2297,"Los libros y la noche",2000,152725,"Johannes","Brahms",1897,103,crew
546,"Danza del fuego",1949,153166,"Félix","Mendelssohn",1847,102,crew
68,"Alejandra",2013,158037,"Alexandre","Bisson",1912,101,crew
1696,"Romance sin palabras",1948,153166,"Félix","Mendelssohn",1847,101,crew
546,"Danza del fuego",1949,154103,"Frédéric","Chopin",1849,100,crew
5202,"Emancipación",2006,154089,"Henrik","Ibsen",1906,100,crew
969,"El hombre del subsuelo",1981,149470,"Fiodor","Dostoievsky",1881,100,crew
8788,"El teorema de Santiago",2017,152729,"Claude","Debussy",1918,99,crew
160531,"El Fausto criollo",1979,150802,"Estanislao","del Campo",1880,99,crew
525,"La dama del collar",1948,154103,"Frédéric","Chopin",1849,99,crew
1831,"La serpiente de cascabel",1948,154103,"Frédéric","Chopin",1849,99,crew
1350,"Pájaros de cristal",1955,152463,"Robert","Schumann",1856,99,crew
918,"Los hijos de Fierro",1984,149762,"José","Hernández",1886,98,crew
5091,"La ventana abierta",2014,112072,"Saki","",1916,98,crew
2504,"Perón, sinfonía del sentimiento",1999,149465,"Giuseppe","Verdi",1901,98,crew
768,"Donde mueren las palabras",1946,154103,"Frédéric","Chopin",1849,97,crew
272,"Caballos salvajes",1995,154896,"Johann","Strauss",1899,96,crew
1926,"Veinticuatro horas en la vida de una mujer",1944,154103,"Frédéric","Chopin",1849,95,crew
1975,"La verdadera victoria",1944,154103,"Frédéric","Chopin",1849,95,crew
2112,"Ana, ¿dónde estás?",1985,154121,"César","Franck",1890,95,crew
1511,"La piel de zapa",1943,146521,"Honoré","de Balzac",1850,93,crew
