person_id,nombre,url_wordpress,ruta_local,url_cloudinary,success,error
158748,"Marco Denevi","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000001077.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000001077.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589389/cinenacional/personas/158748/photo.jpg",true,""
158756,"Alfonso De Grazia","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000001074.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000001074.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589390/cinenacional/personas/158756/photo.jpg",true,""
158770,"Lalo Hartich","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000001038.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000001038.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589391/cinenacional/personas/158770/photo.jpg",true,""
158776,"Osvaldo Terranova","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000001035.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000001035.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589392/cinenacional/personas/158776/photo.jpg",true,""
158781,"Juan Carlos Galván","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000001026.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000001026.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589393/cinenacional/personas/158781/photo.jpg",true,""
158784,"Alita Román","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000001023.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000001023.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589394/cinenacional/personas/158784/photo.jpg",true,""
158786,"Mario Soffici","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000001005.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000001005.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589395/cinenacional/personas/158786/photo.jpg",true,""
158815,"Libertad Leblanc","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000065954.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000065954.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589396/cinenacional/personas/158815/photo.jpg",true,""
158849,"Guillermo Battaglia","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000000987.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000000987.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589397/cinenacional/personas/158849/photo.jpg",true,""
158856,"Norberto Aroldi","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000000984.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000000984.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589398/cinenacional/personas/158856/photo.jpg",true,""
158860,"Héctor Pellegrini","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000000981.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000000981.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589400/cinenacional/personas/158860/photo.jpg",true,""
158862,"Selva Alemán","https://cinenacional.com/wp-content/uploads/2018/10/selva-aleman-murio-a-los-80-XO33CJ5THNESDDPRJ7QA4W6XMY.jpg","C:/Users/diego/cinenacional/uploads/2018/10/selva-aleman-murio-a-los-80-XO33CJ5THNESDDPRJ7QA4W6XMY.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589401/cinenacional/personas/158862/photo.jpg",true,""
158866,"Tito Alonso","https://cinenacional.com/wp-content/uploads/2018/10/talonso.jpg","C:/Users/diego/cinenacional/uploads/2018/10/talonso.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589402/cinenacional/personas/158866/photo.jpg",true,""
158867,"Leo Fleider","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000000975.jpg","C:/Users/diego/cinenacional/uploads/2021/09/0000000975.jpg","https://res.cloudinary.com/dzndglyjr/image/upload/v1760589403/cinenacional/personas/158867/photo.jpg",true,""
