tmdb_id,full_name,first_name,last_name,gender,reason,movie_title,role
5049915,"Marina Fiorini","","",NULL,"Job no mapeado: "Cinematography" (Crew)","Esa muerte me ha matado","Cinematography"
2822562,"Andrés Brandariz","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Esa muerte me ha matado","Assistant Director"
5607133,"Francisco Norman Leno","","",NULL,"Job no mapeado: "Production Assistant" (Production)","Esa muerte me ha matado","Production Assistant"
2882212,"Jacinta Bonaiuto","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","Esa muerte me ha matado","Art Department Assistant"
5607136,"Maria Bonaiuto","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","Esa muerte me ha matado","Art Department Assistant"
3679946,"Thamiris Carvalho de Paulo","","",NULL,"Job no mapeado: "Costumer" (Costume & Make-Up)","Esa muerte me ha matado","Costumer"
4833018,"Emma Dupuy","","",NULL,"Job no mapeado: "Sound Assistant" (Sound)","Esa muerte me ha matado","Sound Assistant"
5187352,"Hora Lunga","Hora","Lunga",NULL,"Primer nombre "Hora" no encontrado en base de datos","El mundo al revés","Music"
3321290,"Diana Salomé Cabral","","",NULL,"Job no mapeado: "Post Production Coordinator" (Production)","Croma","Post Production Coordinator"
5370559,"Jans Carlos Valladares","Jans","Carlos Valladares",NULL,"Primer nombre "Jans" no encontrado en base de datos","Jankee","cast"
2842709,"Yamel Thompson","Yamel","Thompson",NULL,"Primer nombre "Yamel" no encontrado en base de datos","Jankee","cast"
2163074,"Mercedes Gaviria","","",NULL,"Job no mapeado: "Sound Director" (Sound)","Jankee","Sound Director"
5370567,"Andrea Gómez","","",NULL,"Job no mapeado: "Color Grading" (Editing)","Jankee","Color Grading"
2050351,"Tebbe Schöningh","","",NULL,"Job no mapeado: "Cinematography" (Crew)","Pin de Fartie","Cinematography"
4905397,"Juan José Amaya","","",NULL,"Job no mapeado: "Supervising Editor" (Editing)","El origen del mundo","Supervising Editor"
1152112,"Gonzalo García-Pelayo","","",NULL,"Job no mapeado: "Associate Producer" (Production)","La noche está marchándose ya","Associate Producer"
1685244,"María Aparicio","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","La noche está marchándose ya","Assistant Director"
4423681,"Juan Bianchini","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","La noche está marchándose ya","Gaffer"
2665447,"Atilio Sánchez","","",NULL,"Job no mapeado: "Sound Director" (Sound)","La noche está marchándose ya","Sound Director"
1544160,"Martín Sappia","","",NULL,"Job no mapeado: "Sound Assistant" (Sound)","La noche está marchándose ya","Sound Assistant"
2138709,"Florencia Wehbe","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","La noche está marchándose ya","Art Department Assistant"
2705905,"Juan Pablo Pucheta","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","La noche está marchándose ya","Art Department Assistant"
2095292,"Rodrigo Zaya","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","La noche está marchándose ya","Art Department Assistant"
5777089,"Martín Emilio Campos","","",NULL,"Job no mapeado: "Location Manager" (Production)","La noche está marchándose ya","Location Manager"
2633711,"Marcelo Granero","","",NULL,"Job no mapeado: "Graphic Designer" (Art)","La noche está marchándose ya","Graphic Designer"
5777117,"Sebastián González","","",NULL,"Job no mapeado: "Sound Recordist" (Sound)","La noche está marchándose ya","Sound Recordist"
5777119,"Francisco Albarracín","","",NULL,"Job no mapeado: "Music Arranger" (Sound)","La noche está marchándose ya","Music Arranger"
1544160,"Martín Sappia","","",NULL,"Job no mapeado: "Sound Editor" (Sound)","La noche está marchándose ya","Sound Editor"
2665447,"Atilio Sánchez","","",NULL,"Job no mapeado: "Sound Editor" (Sound)","La noche está marchándose ya","Sound Editor"
5767798,"Chien Min Lee","Chien","Min Lee",NULL,"Primer nombre "Chien" no encontrado en base de datos","Los caminantes de la calle","cast"
5767800,"Yuchen Che","Yuchen","Che",NULL,"Primer nombre "Yuchen" no encontrado en base de datos","Los caminantes de la calle","cast"
5767801,"Yam Pin Kon","Yam","Pin Kon",NULL,"Primer nombre "Yam" no encontrado en base de datos","Los caminantes de la calle","cast"
5499876,"Norma Velázquez","","",NULL,"Job no mapeado: "Co-Producer" (Production)","Los caminantes de la calle","Co-Producer"
5899610,"Mowat","Mowat","",NULL,"Nombre único no encontrado en base de datos","Los caminantes de la calle","Original Music Composer"
4723016,"Gonzalo Zilberman","","",NULL,"Job no mapeado: "Cinematography" (Crew)","Cuento de verano","Cinematography"
3513458,"Federico Zampieri","","",NULL,"Job no mapeado: "Sound Recordist" (Sound)","Cuento de verano","Sound Recordist"
1976242,"Tomás Pernich","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Cuento de verano","Assistant Director"
4656869,"Sol Masaedo","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","Cuento de verano","Producer's Assistant"
3986894,"Tamara Leschner","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","Cuento de verano","Producer's Assistant"
5763386,"Tomás Elliff","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","Cuento de verano","Producer's Assistant"
