tmdb_id,full_name,first_name,last_name,gender,reason,movie_title,role
5838296,"Gael Saloiña Avakian","Gael","Saloiña Avakian",NULL,"Primer nombre "Gael" no encontrado en base de datos","La Hermandad de los Dientes","cast"
5105392,"Federico Haber","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","La Hermandad de los Dientes","Assistant Director"
5105393,"Lara Sánchez González","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","La Hermandad de los Dientes","Camera Operator"
5558213,"Lucio Setton","","",NULL,"Job no mapeado: "Sound Director" (Sound)","La Hermandad de los Dientes","Sound Director"
4344008,"Sol Elaine Carboni","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","La Hermandad de los Dientes","Gaffer"
5838317,"Lucía Amengual","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","La Hermandad de los Dientes","Gaffer"
4616067,"Tobias Gotkin","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","La Hermandad de los Dientes","Gaffer"
5838320,"Emilia Zerega","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","La Hermandad de los Dientes","Gaffer"
5838321,"Manuel Acosta","","",NULL,"Job no mapeado: "Sound Recordist" (Sound)","La Hermandad de los Dientes","Sound Recordist"
5838324,"Miranda Carabias","","",NULL,"Job no mapeado: "Still Photographer" (Camera)","La Hermandad de los Dientes","Still Photographer"
5838326,"Romina Um","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","La Hermandad de los Dientes","Art Department Assistant"
5558213,"Lucio Setton","","",NULL,"Job no mapeado: "First Assistant Camera" (Camera)","La Hermandad de los Dientes","First Assistant Camera"
4017571,"Matías Cagnani","","",NULL,"Job no mapeado: "Boom Operator" (Sound)","La Hermandad de los Dientes","Boom Operator"
5558209,"Antonelia Marchese","Antonelia","Marchese",NULL,"Primer nombre "Antonelia" no encontrado en base de datos","La Hermandad de los Dientes","Art Direction"
4749067,"Daniela Romar","Daniela Romar","",NULL,"Nombre único no encontrado en base de datos","La Hermandad de los Dientes","Editor"
