tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
1525353;Esa muerte me ha matado;Thirst of Death;2025;28/11/2025;28/11/2025;AR;XXVI Buenos Aires Rojo Sangre ;Francisca acepta una cita con una misteriosa pareja que conoció en una app. Cuando descubre un cadáver con marcas de mordida en el baño, se desata la pesadilla: queda atrapada a merced de dos vampiros;177;0;0
1450272;El mundo al revés;El mundo al revés;2025;7/4/2025;7/4/2025;CH;Visions du Réel;;3194;0;0
1449065;Croma;Croma;2025;7/4/2025;7/4/2025;CH;Visions du Réel;;1217;0;0
1455832;Jankee;Jankee;2025;10/4/2025;10/4/2025;CH;Visions du Réel;;1031;0;0
1339367;Un cabo suelto;Un cabo suelto;2025;3/10/2025;3/9/2025;IT;Venice Film Festival;Santiago, un cabo de la policía argentina, cruza la frontera hacia Uruguay huyendo de otros agentes policiales que lo andan buscando. Valiéndose de su uniforme, va inspeccionando puestos de comida reg;51055;7;1
1517070;Pin de Fartie;Pin de Fartie;2025;3/9/2025;3/9/2025;IT;Venice Film Festival;;7082;5;2
1516305;El origen del mundo;El origen del mundo;2025;28/8/2025;28/8/2025;IT;Venice Film Festival;;5724;0;0
1554544;La noche está marchándose ya;La noche está marchándose ya;2025;17/10/2025;17/10/2025;CL;Valdivia Film Festival ;PELU es un treintañero que a duras penas sobrevive con su salario de proyectorista de un cineclub municipal. Tras perder su trabajo, acepta quedarse como sereno nocturno y, por una serie de giros desa;18429;0;0
1567465;Los caminantes de la calle;Los caminantes de la calle;2025;14/11/2025;14/11/2025;EE;Tallinn Black Nights Film Festival;;14648;0;0
1429768;Cuento de verano;Cuento de verano;2025;19/11/2025;19/11/2025;EE;Tallinn Black Nights Film Festival;"Después de un infarto, un estafador porteño intenta demostrar que es un ""buen tipo""... sea lo que sea que eso signifique.";975;0;0
1611994;Capo;Capo;2025;31/12/2025;31/12/2025;AR;Tadeus Film Festival;;504;0;0
519530;El tema del verano;El tema del verano;2025;30/1/2025;6/10/2024;ES;Sitges Film Festival;Ana, la implacable Malú y Martina se ganan la vida seduciendo a chicos ricos, para después drogarlos y desplumarlos. Este verano postpandemia planean el golpe más grande de sus carreras: robar a Ramir;1624;10;1
1180909;Damp;Humedad;2025;25/10/2025;5/10/2024;ES;SITGES Festival Internacional de Cine Fantástico de Cataluña;"Una noche comienzan a suceder cosas extrañas en la casa; el agua y la humedad van tomando el control e invadiendo el lugar, lo que obliga a Napo a enfrentar un enemigo invisible y sus propios miedos i";3892;0;0
1300359;Memoria Implacable;Memoria Implacable;2025;29/5/2025;13/6/2024;GB;Sheffield DocFest;El descubrimiento de algunos archivos olvidados en un museo de Berlín, motiva un viaje que revela uno de los episodios más oscuros y silenciados de la historia de Chile y Argentina. Margarita, una jov;2056;0;0
1554374;Narcisa;Narcisa;2025;28/9/2025;28/9/2025;AR;Semana del Cine Santafesino;Narcisa se abre paso entre la oscuridad de un ambiente inquietante para enfrentarse cara a cara con una situación surreal que la pone a prueba.;921;0;0
1390379;Entre plumas falsas y balas verdaderas;Entre plumas falsas y balas verdaderas;2025;28/9/2025;28/9/2025;AR;Selección Oficial Cortometrajes | FeLCO (Festival Latinoamericano de Cine de Olavarría);Buenos Aires, 1994. Memé Tizou, una reconocida vedette se entera que Armando, su productor, ha decidido reemplazarla. Negada a rendirse tras una vida sobre el escenario, Memé es llevada al límite de s;14386;0;0
1193950;Encantador;Encantador;2025;11/10/2025;11/10/2025;US;Screamfest Horror Film Festival;"Tomás es un chico encantador. Sin embargo, Tomás esconde en su casa unas muñecas con las que se relaciona de manera extraña, al igual que con su madre; una mujer sumamente dependiente de él. El orden ";4283;0;0
1292315;Parecido a un asesinato;Parecido a un asesinato;2025;3/10/2025;22/9/2025;ES;San Sebastián International Film Festival;"Eva vive un momento feliz, con una nueva pareja, Nazario, escritor de éxito, y su hija, Alicia, una adolescente con la que espera congeniar; por fin tiene una familia que le permitirá olvidar el pasad";2974;10;1
1536998;Jota Urondo, un cocinero impertinente;Jota Urondo, un cocinero impertinente;2025;25/9/2025;25/9/2025;ES;San Sebastián International Film Festival;;881;0;0
1275379;Nuestra sombra;Nuestra sombra;2025;13/9/2025;13/3/2024;FR;Quinzaine des Cinéastes Cannes 2024;En algún lugar de Argentina: mientras se pronostica un eclipse de sol y el bosque circundante continúa devastado por la tala, solo quedan unas pocas mujeres y un niño pequeño que deben valerse por sí ;5436;0;0
1548637;Fitofascias;Fitofascias;2025;19/9/2025;19/9/2025;CO;Quibdó África Film Festival (QAFF);;143;0;0
1387424;La Noche del Sereno;La Noche del Sereno;2025;21/6/2025;21/6/2025;US;Philadephia Latino Arts and Film Festival;Darío Ramírez deberá pasar su primera noche como vigilante de una extraña fábrica, enfermo y lejos de su hija el día de su cumpleaños. Conforme pasan las horas, descubrirá que no está tan solo como cr;25338;0;0
