tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
993260;Veranada;Veranada;2023;27/4/2023;27/4/2023;CA;Hot Docs;;683;2;1
1110808;El fuego que hemos construido;El fuego que hemos construido;2023;25/4/2023;25/4/2023;AR;BAFICI;Mora ofrece subrogar su vientre para que Fran y Andy puedan ser padres, pero tras concebirlo se arrepiente e intenta fallidamente realizarse un aborto. Así es como, inesperadamente, los tres se embarc;662;6;3
1127887;Suiti;Suiti;2023;15/5/2023;15/5/2023;AR;Muestra Arder;Un cortometraje documental dirigido por María José Olivares;571;2;1
1137271;En caso de sismo;En caso de sismo;2023;25/6/2023;25/6/2023;US;Dances With Films;;524;0;0
1041242;Las peripecias de Sir Percival;Las peripecias de Sir Percival;2023;6/5/2023;6/5/2023;BR;Animatiba (Curitiba Animation Festival);;411;0;0
1197195;Nadie se enamora en un cine porno;Nadie se enamora en un cine porno;2023;10/11/2023;10/11/2023;AR;Source: IMDB (Mar del Plata);H es un hombre adulto que frecuentó gran parte de su vida los cines porno de Mar de Plata. Luego de una experiencia transformadora reconsidera su forma de vincularse en la sociedad.;404;0;0
1201622;Dos pajaritos: Plumas;Dos pajaritos: Plumas;2023;5/11/2023;5/11/2023;ES;El meu primer festival;Un pajarito rojo se posa en la copa del árbol y comienza a cantar dulcemente. Los dos pajaritos lo escuchan y comienzan una competencia de cortejos en donde cada uno trata de llamar la atención.;314;0;0
1038744;Cómo copiarse en un examen;Cómo copiarse en un examen;2023;10/7/2023;10/7/2023;ES;Festival de Islantilla;;286;6;2
1202527;Sigilos del bosque;Sigilos del bosque;2023;7/5/2023;7/5/2023;AR;Festival Nieve Roja;Durante 1940 en las lejanas tierras de la Patagonia, un viajero llega a la cabaña de un cazador a recopilar un conjunto de historias, pero a medida que el tiempo pasa, las narraciones y la realidad se;286;0;0
1117391;El exilio del mar;El exilio del mar;2023;15/4/2023;15/4/2023;US;Chicago Latino Film Festival;;286;2;1
1110749;Невада;Невада;2023;21/4/2023;21/4/2023;AR;BAFICI;Shura descubre que su marido ha escapado de la institución mental en la que se encontraba y nadie sabe dónde está. Sus días se vuelven plagados de paranoia y la presencia del hombre que la sigue. ¿O e;217;6;1
1202572;El juego de tu vida;El juego de tu vida;2023;30/11/2023;30/11/2023;AR;Buenos Aires Rojo Sangre;Absorto, Adriel mira un programa de televisión. Llaman a la puerta, al abrirla no encuentra a nadie, solo una carta en el piso, en el interior hay una invitación a participar de un misterioso juego en;214;10;1
1206827;Mujeres Resilientes;Mujeres Resilientes;2023;20/7/2023;19/11/2023;BR;XXI Festival de Cinema de Marília ;;214;0;0
1164928;Santa Sombra;Santa Sombra;2023;10/5/2023;13/11/2023;MX;FERATUM 2023;;214;0;0
1567754;Vuelve a navegar el wampo;Vuelve a navegar el wampo;2023;11/11/2023;11/11/2023;AR;Festival Internacional de Mar del Plata;;193;0;0
1584691;Ofrenda;Ofrenda;2023;27/11/2023;27/11/2023;AR;Festival Super 8 Infinito;;168;0;0
1196843;Mar de fondo;Mar de fondo;2023;7/11/2023;7/11/2023;AR;Festival Internacional de Cine de Mar del Plata;En la década del 90, en la ciudad de Mar del Plata, asesinaron y desaparecieron a una treintena de mujeres, la mayoría de ellas trabajadoras sexuales. Los crímenes fueron adjudicados a un presunto ase;143;0;0
1194822;Con la fuerza del río;Con la fuerza del río;2023;29/10/2023;29/10/2023;AR;Festival Asterisco;Con la Fuerza del Río acompaña la historia de seis feminidades en el 34º Encuentro Plurinacional de Mujeres, Lesbianas, Trans, Travestis, Bisexuales y No Binaries, realizado en La Plata, 2019. A travé;143;0;0
1250192;Femenino Singular;Femenino Singular;2023;7/11/2023;7/11/2023;ES;Premiered at the 35th edition of Girona Film Festival;;92;0;0
1063702;Con un ovillo de lana;Con un ovillo de lana;2023;14/10/2023;14/10/2023;US;Mill Valley Film Festival;;89;0;0
1188307;Nosotras;Nosotras;2023;7/10/2023;7/10/2023;AR;Enerc Se Proyecta;Corto de la ENERC;71;0;0
1198386;El perfil de Lisa;El perfil de Lisa;2023;8/11/2023;8/11/2023;AR;Festival Internacional de Cine de Mar del Plata;¿Es tan grave tener solo un limón en la heladera? ¿Es una casualidad sin importancia o signiﬁca algo más? Lisa se pregunta qué hizo mal con Juan, que se ofendió la noche en que fue a su casa y no habí;68;0;0
1262976;Mientras todo pasa;Mientras todo pasa;2023;22/11/2023;22/11/2023;FR;Entrevues Belfort International Film Festival;Azul es una chica que se encuentra en ese trance tan difícil como es el paso de la infancia a la adolescencia. Cuando conoce a Nico, se animará a cometer un pequeño y simbólico acto de rebeldía que co;17;0;0
1220477;La piedra mágica;La piedra mágica;2023;14/6/2023;14/6/2023;BR;Olhar de Cinema;;0;0;0
