tmdb_id,tmdb_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,local_id,local_title,local_year,match_reason
1475975,Partidas,2024,2024-12-31,2024-12-31,AR,,10037,Partidos,0,Posible match (88%)
1397001,Serafina,2024,2024-12-02,2025-10-25,ES,Curtas Festival do Imaxinario,197244,Serafín,2025,Posible match (88%)
1419628,Nocturna,2024,2024-11-03,2024-11-03,AR,,2486,Nocturno,0,Posible match (88%)
1314971,Penelope,2024,2024-07-09,2024-07-09,AR,,197286,Penelope 2,2025,Posible match (80%)
912032,Mar.IA,2024,2024-06-13,2023-10-12,ES,Sitges International Film Festival,160907,María,0,Posible match (83%)
1328922,Recuerda,2024,2024-05-30,2024-05-30,AR,,10005,Recuerdo,0,Posible match (88%)
1313242,Duelo,2024,2024-03-07,2024-03-07,AR,,192337,Dueto,2023,Posible match (80%)
1536726,Instantes,2024,2024-01-01,2024-01-01,AR,,197001,Instante,2025,Posible match (89%)
1372868,Bienvenido,2024,2024-01-01,2024-01-01,CO,,6056,Bienvenidos,0,Posible match (91%)
