tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1591141,San Juan 2023,San Juan 2023,2024,2024-12-31,2024-12-31,AR,Estreno en proyección privada en la ciudad de La Plata.,,0.1967,0,0,missing,,,,No encontrada en CineNacional
1553999,La Raíz del Olivo,La Raíz del Olivo,2024,2024-12-31,2024-12-31,AR,,,0.2872,0,0,missing,,,,No encontrada en CineNacional
1475975,Partidas,Partidas,2024,2024-12-31,2024-12-31,AR,,,0.085,0,0,possible_match,10037,Partidos,0,Posible match (88%)
1408612,"2024: Año de la defensa de la muerte, la esclavitud y el vaciamiento","2024: Año de la defensa de la muerte, la esclavitud y el vaciamiento",2024,2024-12-31,2024-12-31,AR,,,0.0387,0,0,missing,,,,No encontrada en CineNacional
1310238,Un jardín para Pichón,Un jardín para Pichón,2024,2024-12-30,2024-12-30,AR,,,0.153,0,0,missing,,,,No encontrada en CineNacional
1067833,Juego de brujas,Juego de brujas,2024,2024-12-30,2024-12-30,BR,"WORLD PREMIERE; Fantaspoa Film Festival, 2023 ",Una joven deberá en una noche conocer los secretos de la brujería para enfrentarse al demonio y salvar a su hermana. Sólo tendrá la ayuda de 3 brujos que la llevarán por el tortuoso camino del aprendi,2.4084,6.789,19,exists_by_title,189604,Juego de brujas,2023,Match por título (100%)
1408780,The Old House,The Old House,2024,2024-12-27,2024-12-27,AR,,"Una joven visita la casa de su abuelo tras su muerte. Decide vender la casa, pero tras encontrar un casete, su opinión podría cambiar.",0.3964,0,0,missing,,,,No encontrada en CineNacional
1470695,Eterno Retorno,Eterno Retorno,2024,2024-12-26,2024-12-26,AR,,"Dos amigos encuentran un misterioso objeto que cambia sus vidas, atrapándolos en una espiral de decisiones que desafían la lógica del tiempo.",0.1606,8,1,missing,,,,No encontrada en CineNacional
1415537,"El Sidras, El Joto y El Cerdo otra Navidad del Espanto","El Sidras, El Joto y El Cerdo otra Navidad del Espanto",2024,2024-12-25,2024-12-25,AR,,,0.0552,0,0,missing,,,,No encontrada en CineNacional
1322980,Adorables Perdedores,Adorables Perdedores,2024,2024-12-23,2024-12-23,AR,,,0.0416,0,0,missing,,,,No encontrada en CineNacional
1427948,Entre Líneas,Entre Líneas,2024,2024-12-22,2024-12-22,AR,se encuentra en tesacreative.com,"Una misma ciudad, dos historias en paralelo y preguntas sin responder. En esta historia, dos adolescentes transitan un viaje interno hacia la madurez y autoaceptación.",0.0168,0,0,missing,,,,No encontrada en CineNacional
1407424,El Escape Imperceptible,The Imperceptible Escape,2024,2024-12-21,2024-12-21,AR,,"Un prisionero intenta escapar de su celda, pero el guardia no se lo hará fácil, llevándolo a nuevas técnicas de escape.",0.0071,0,0,missing,,,,No encontrada en CineNacional
1406556,Los Piojos: Estadio Único de La Plata,Los Piojos: Estadio Único de La Plata,2024,2024-12-21,2024-12-21,AR,,,0.2514,0,0,missing,,,,No encontrada en CineNacional
1536502,Almonds,Almonds,2024,2024-12-20,2024-12-20,AR,Festival Pandora de Diseño Audiovisual (Imagen y Sonido) 2024 ,,0.0239,0,0,missing,,,,No encontrada en CineNacional
