tmdb_id,tmdb_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,local_id,local_title,local_year,match_reason
1196255,Nueva esperanza,2023,2023-11-05,2023-11-05,AR,Mar del Plata International Film Festival,3779,La nueva esperanza,0,Posible match (83%)
1214189,¡Solos!,2023,2023-10-27,2023-10-27,AR,,9549,Solxs,0,Posible match (80%)
1195813,El Nido,2023,2023-10-20,2023-10-20,AR,,7585,El niño,0,Posible match (86%)
1152564,Recursos inhumanos,2023,2023-07-27,2023-07-27,AR,,193535,Recursos Humanos,2023,Posible match (89%)
1281878,Umbral,2023,2023-06-29,2023-06-29,AR,FESAALP,4346,Umbra,0,Posible match (83%)
1110729,Los novios,2023,2023-04-26,2023-04-26,AR,,5905,Los necios,0,Posible match (80%)
