tmdb_id,full_name,first_name,last_name,gender,reason,movie_title,role
5314785,"Melvyn “Deacon” Jones","Melvyn","“Deacon” Jones",NULL,"Primer nombre "Melvyn" no encontrado en base de datos","Algo ha cambiado: Un viaje quijotesco al blues local","cast"
935833,"Carmine Appice","Carmine","Appice",NULL,"Primer nombre "Carmine" no encontrado en base de datos","Algo ha cambiado: Un viaje quijotesco al blues local","cast"
3447345,"Pappo","Pappo","",NULL,"Nombre único no encontrado en base de datos","Algo ha cambiado: Un viaje quijotesco al blues local","Music"
83187,"Garrett Morris","Garrett","Morris",NULL,"Primer nombre "Garrett" no encontrado en base de datos","Algo ha cambiado: Un viaje quijotesco al blues local","Music"
5314825,"Dizzy Espeche","Dizzy","Espeche",NULL,"Primer nombre "Dizzy" no encontrado en base de datos","Algo ha cambiado: Un viaje quijotesco al blues local","Music"
