tmdb_id,full_name,first_name,last_name,gender,reason,movie_title,role
5925759,"Fabían Villafañe","Fabían","Villafañe",NULL,"Primer nombre "Fabían" no encontrado en base de datos","Capo","cast"
5450376,"Flope Velozo","Flope","Velozo",NULL,"Primer nombre "Flope" no encontrado en base de datos","Capo","Director of Photography"
3667864,"Vareila Mairanga","Vareila","Mairanga",NULL,"Primer nombre "Vareila" no encontrado en base de datos","Capo","Director of Photography"
3321290,"Diana Salomé Cabral","","",NULL,"Job no mapeado: "Post Production Coordinator" (Production)","El tema del verano","Post Production Coordinator"
2411944,"Napo Martino","Napo","Martino",NULL,"Primer nombre "Napo" no encontrado en base de datos","Damp","cast"
3936063,"Guido Fazzito","","",NULL,"Job no mapeado: "Music Sound Design and Processing" (Sound)","Damp","Music Sound Design and Processing"
2411939,"Mateo Garimberti","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Damp","Assistant Director"
4211934,"Marco Serafini","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Damp","Assistant Director"
3250064,"Josefina Chinni","","",NULL,"Job no mapeado: "Sound Director" (Sound)","Damp","Sound Director"
4282940,"johannes fischer","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","Damp","Producer's Assistant"
3892953,"Gabriel Argüello Marsal","","",NULL,"Job no mapeado: "Colorist" (Editing)","Damp","Colorist"
3021667,"Mariano Alexion","","",NULL,"Job no mapeado: "Second Assistant Director" (Directing)","Damp","Second Assistant Director"
4282943,"mauro castelli","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","Damp","Gaffer"
3711940,"Maite Rey Burés","","",NULL,"Job no mapeado: "Directing Lighting Artist" (Lighting)","Damp","Directing Lighting Artist"
3717297,"Virginia Zandomeni","","",NULL,"Job no mapeado: "Costume Designer" (Costume & Make-Up)","Damp","Costume Designer"
2008549,"Catalina Díaz","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","Damp","Producer's Assistant"
2843533,"Francisco Nobile","","",NULL,"Job no mapeado: "Sound Editor" (Sound)","Damp","Sound Editor"
2835049,"Lucas Rowi","","",NULL,"Job no mapeado: "Script Supervisor" (Directing)","Damp","Script Supervisor"
3902048,"Lucas Mendoza","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","Narcisa","Camera Operator"
4221985,"Camila Aranda","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Narcisa","Assistant Director"
3902046,"Natán Silvestre","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Narcisa","Assistant Director"
5448761,"Tomás Iriarte","","",NULL,"Job no mapeado: "Assistant Camera" (Camera)","Narcisa","Assistant Camera"
5448761,"Tomás Iriarte","","",NULL,"Job no mapeado: "Electrician" (Lighting)","Narcisa","Electrician"
4221985,"Camila Aranda","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","Narcisa","Gaffer"
4221985,"Camila Aranda","","",NULL,"Job no mapeado: "Electrician" (Lighting)","Narcisa","Electrician"
4102299,"Milagros Rocha","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","Narcisa","Art Department Assistant"
4204420,"Martina C. Beker","","",NULL,"Job no mapeado: "Boom Operator" (Sound)","Narcisa","Boom Operator"
3902051,"Zeferí Encina Leveratto","","",NULL,"Job no mapeado: "Sound Editor" (Sound)","Narcisa","Sound Editor"
3902051,"Zeferí Encina Leveratto","","",NULL,"Job no mapeado: "Storyboard Artist" (Art)","Narcisa","Storyboard Artist"
3902051,"Zeferí Encina Leveratto","Zeferí","Encina Leveratto",NULL,"Primer nombre "Zeferí" no encontrado en base de datos","Narcisa","Director"
3914497,"Alexandro Kobialka","Alexandro","Kobialka",NULL,"Primer nombre "Alexandro" no encontrado en base de datos","Narcisa","Editor"
2814605,"Magdalena Ewert","","",NULL,"Job no mapeado: "Continuity" (Directing)","Entre plumas falsas y balas verdaderas","Continuity"
5239521,"Camila Barraza","","",NULL,"Job no mapeado: "Hair Assistant" (Costume & Make-Up)","Entre plumas falsas y balas verdaderas","Hair Assistant"
