tmdb_id,full_name,first_name,last_name,gender,reason,movie_title,role
5738058,"Alecto Airaldi","Alecto","Airaldi",NULL,"Primer nombre "Alecto" no encontrado en base de datos","Morirás al alba","cast"
5738055,"Roxana Baisch Planells","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Morirás al alba","Assistant Director"
5738055,"Roxana Baisch Planells","","",NULL,"Job no mapeado: "Coordinating Producer" (Production)","Morirás al alba","Coordinating Producer"
5738066,"Esteban Di Pardo","","",NULL,"Job no mapeado: "Painter" (Art)","Morirás al alba","Painter"
3752998,"Pipo Cipolatti","Pipo","Cipolatti",NULL,"Primer nombre "Pipo" no encontrado en base de datos","Cuarto oscuro","cast"
5737931,"Rocke Oviedo","","",NULL,"Job no mapeado: "Animation" (Visual Effects)","Cuarto oscuro","Animation"
5737931,"Rocke Oviedo","Rocke","Oviedo",NULL,"Primer nombre "Rocke" no encontrado en base de datos","Cuarto oscuro","Director"
5737940,"Humano Querido","Humano","Querido",NULL,"Primer nombre "Humano" no encontrado en base de datos","Cuarto oscuro","Music"
3801487,"Mauricio Urra","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","La obra inconclusa","Camera Operator"
5738006,"Enzo Giordano","","",NULL,"Job no mapeado: "Visual Effects" (Visual Effects)","La obra inconclusa","Visual Effects"
5738004,"Joanny Sandoval","Joanny","Sandoval",NULL,"Primer nombre "Joanny" no encontrado en base de datos","La obra inconclusa","Director of Photography"
5778416,"Beto Alloati","","",NULL,"Job no mapeado: "Still Photographer" (Camera)","El hombre que vivió con miedo","Still Photographer"
4139783,"María Victoria Ficceto","","",NULL,"Job no mapeado: "Production Manager" (Production)","El hombre que vivió con miedo","Production Manager"
3796168,"Fabricio Barale","","",NULL,"Job no mapeado: "Production Manager" (Production)","El hombre que vivió con miedo","Production Manager"
3554650,"Andrés Vernetti","","",NULL,"Job no mapeado: "Production Manager" (Production)","El hombre que vivió con miedo","Production Manager"
5767902,"Gora Malatesta","Gora","Malatesta",NULL,"Primer nombre "Gora" no encontrado en base de datos","Zapatos hechos a mano","Music"
5768719,"Queli Berthold","Queli","Berthold",NULL,"Primer nombre "Queli" no encontrado en base de datos","Mientras tanto","cast"
5768720,"Dicky Berthold","Dicky","Berthold",NULL,"Primer nombre "Dicky" no encontrado en base de datos","Mientras tanto","cast"
5829656,"Maria Rinaldi","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Deserto Vértigo","Assistant Director"
1826083,"Sol Bolloqui","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Deserto Vértigo","Assistant Director"
5829659,"Jeronimo Khon","Jeronimo","Khon",NULL,"Primer nombre "Jeronimo" no encontrado en base de datos","Deserto Vértigo","Sound"
5829641,"Gaby Gauna","","",NULL,"Job no mapeado: "Music Sound Design and Processing" (Sound)","Esas ruinas","Music Sound Design and Processing"
5026495,"Katalina Ruano","","",NULL,"Job no mapeado: "Script" (Crew)","Appassionata","Script"
5042743,"Julio Nicolás Cámpora","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","Appassionata","Camera Operator"
5042743,"Julio Nicolás Cámpora","","",NULL,"Job no mapeado: "Colorist" (Editing)","Appassionata","Colorist"
5405765,"Ana Molinas","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Cenizas","Assistant Director"
5405761,"Kalem Suarez","","",NULL,"Job no mapeado: "Production Director" (Production)","Cenizas","Production Director"
5405766,"Aiten Olsen","","",NULL,"Job no mapeado: "Production Assistant" (Production)","Cenizas","Production Assistant"
5405763,"Lara Balmaceda","","",NULL,"Job no mapeado: "Assistant Director of Photography" (Art)","Cenizas","Assistant Director of Photography"
5383010,"Mariano Oviedo","","",NULL,"Job no mapeado: "Sound Director" (Sound)","Cenizas","Sound Director"
5383010,"Mariano Oviedo","","",NULL,"Job no mapeado: "Music Score Producer" (Sound)","Cenizas","Music Score Producer"
5796475,"Corel Salinas","Corel","Salinas",NULL,"Primer nombre "Corel" no encontrado en base de datos","No podía quedarme en casa sin hacer nada","cast"
5796475,"Corel Salinas","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","No podía quedarme en casa sin hacer nada","Assistant Director"
5796476,"Ciro Mastrantonio","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","No podía quedarme en casa sin hacer nada","Assistant Director"
5796478,"Juan Ignacio Burgos","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","No podía quedarme en casa sin hacer nada","Producer's Assistant"
5796481,"Aylen Melano","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","No podía quedarme en casa sin hacer nada","Producer's Assistant"
2434027,"María Laura Molina","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","No podía quedarme en casa sin hacer nada","Producer's Assistant"
5796483,"Pablo Mier","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","No podía quedarme en casa sin hacer nada","Producer's Assistant"
5796476,"Ciro Mastrantonio","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","No podía quedarme en casa sin hacer nada","Camera Operator"
5796494,"Sasha Iara Nemes","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","No podía quedarme en casa sin hacer nada","Camera Operator"
4951617,"Candela Ucero","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","No podía quedarme en casa sin hacer nada","Camera Operator"
4039901,"Julián Cáneva","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","No podía quedarme en casa sin hacer nada","Camera Operator"
5796505,"Fausto Dassatti","","",NULL,"Job no mapeado: "Producer's Assistant" (Production)","No podía quedarme en casa sin hacer nada","Producer's Assistant"
5759607,"La Cerda Punk","La","Cerda Punk",NULL,"Primer nombre "La" no encontrado en base de datos","Festín","cast"
5759609,"Lapoca Hombre","Lapoca","Hombre",NULL,"Primer nombre "Lapoca" no encontrado en base de datos","Festín","cast"
5759612,"Muluk","Muluk","",NULL,"Nombre único no encontrado en base de datos","Festín","Director"
4508279,"Pablo Costamagna","","",NULL,"Job no mapeado: "Cinematography" (Crew)","Almost Forgotten","Cinematography"
1616083,"Obediya W. Jones-Darrell","Obediya","W. Jones-Darrell",NULL,"Primer nombre "Obediya" no encontrado en base de datos","Almost Forgotten","Writer"
4616012,"Aluhe Tupac","Aluhe","Tupac",NULL,"Primer nombre "Aluhe" no encontrado en base de datos","El Compromiso","cast"
4500265,"Ignacio Barragan","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","El Compromiso","Assistant Director"
4150221,"Franco Mannino","","",NULL,"Job no mapeado: "Additional Second Assistant Director" (Directing)","El Compromiso","Additional Second Assistant Director"
5033246,"Rocio Freire Castro","","",NULL,"Job no mapeado: "Actor's Assistant" (Crew)","El Compromiso","Actor's Assistant"
3973134,"Tadeo Martínez","","",NULL,"Job no mapeado: "Sound Director" (Sound)","El Compromiso","Sound Director"
5598928,"Gonzalo Nahuel Fernández","","",NULL,"Job no mapeado: "Production Executive" (Production)","El Compromiso","Production Executive"
5013893,"Eric Ovelar","","",NULL,"Job no mapeado: "Production Assistant" (Production)","El Compromiso","Production Assistant"
3879849,"Alvaro N. Cuesta","","",NULL,"Job no mapeado: "Continuity" (Directing)","El Compromiso","Continuity"
4548185,"María Arizu","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","El Compromiso","Art Department Assistant"
5764253,"Tomás Landriscina","","",NULL,"Job no mapeado: "Sound Assistant" (Sound)","El Compromiso","Sound Assistant"
5019843,"Malena Souto Hanzel","","",NULL,"Job no mapeado: "Art Department Assistant" (Art)","El Compromiso","Art Department Assistant"
5764264,"Luciano Milgron","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","El Compromiso","Camera Operator"
