tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1611994,Capo,Capo,2025,2025-12-31,2025-12-31,AR,Tadeus Film Festival,,0.0504,0,0,missing,,,,No encontrada en CineNacional
1524351,Relatos de ginebra,Relatos de ginebra,2025,2025-12-28,2025-12-28,AR,,"Un joven emprende conversación con un anciano en un bar, quien le cuenta una de sus hazañas a cambio de un trago",0.0446,0,0,missing,,,,No encontrada en CineNacional
1611711,Alma Mia,Alma Mia,2025,2025-12-22,2025-12-22,AR,,"Lo que iba a ser un cuidado temporal de tres meses se transforma en una batalla de cinco años por la adopción de una niña, cuando dos amigas desafían un sistema adverso y los conceptos tradicionales d",0.0728,0,0,missing,,,,No encontrada en CineNacional
1603514,Historias Innecesarias: Crisis 2001,Historias Innecesarias: Crisis 2001,2025,2025-12-21,2025-12-21,AR,,En diciembre de 2001 ocurrió el más grande estallido social de la Argentina.,0.0902,0,0,missing,,,,No encontrada en CineNacional
1600998,Bagazo,Bagazo,2025,2025-12-20,2025-12-20,AR,,,0.0071,10,1,missing,,,,No encontrada en CineNacional
1589891,La hora de los valientes,La hora de los valientes,2025,2025-12-18,2025-12-18,AS,Netflix,Un psicoanalista que cumple servicio comunitario ayuda a un inspector destrozado por una infidelidad. Juntos afrontarán el peligro y descubrirán segundas oportunidades.,31.2652,7.53,66,exists_by_tmdb,197057,La hora de los valientes,2025,Match por tmdb_id
1256483,Ciudades de refugio,Ciudades de refugio,2025,2025-12-18,2025-12-18,AR,,"El médico Walter Boscovich llega en busca de refugio en una noche tormentosa, desencadenando una serie de eventos que se extienden a lo largo de 25 años. La joven oficial de investigaciones Domig se e",0.2492,0,0,missing,,,,No encontrada en CineNacional
1135162,Milonga,Milonga,2025,2025-12-18,2023-09-23,US,AFI Latin American Film Festival (U.S. Premiere),"Rosa aún vive bajo las reglas de su marido, a pesar de que falleció hace seis meses. La deteriorada relación con su hijo la ha distanciado de su única familia. Cuando conoce a Juan, un divorciado con ",0.5507,0,0,exists_by_tmdb,190611,Milonga,2023,Match por tmdb_id
1594412,Dussel,Dussel,2025,2025-12-17,2025-12-17,AR,,,0.0453,0,0,exists_by_tmdb,197020,Dussel,2025,Match por tmdb_id
1601021,Fugacidad,Fugacidad,2025,2025-12-16,2025-12-16,AR,Facultad y muestra de tesis,"Tras intentar suicidarse, un hombre atraviesa un tránsito onírico para reconciliarse consigo mismo, reflexionar y  tener la posibilidad de seguir con su vida.",0.1697,0,0,missing,,,,No encontrada en CineNacional
1359688,"3000 entradas, 49 salidas","3000 entradas, 49 salidas",2025,2025-12-15,2025-12-15,AR,,,0.0902,0,0,missing,,,,No encontrada en CineNacional
1599955,Inclusión Forzada,Inclusión Forzada,2025,2025-12-13,2025-12-13,AR,,,0.0404,0,0,missing,,,,No encontrada en CineNacional
1597980,María Becerra - Estadio River Plate,María Becerra - Estadio River Plate,2025,2025-12-13,2025-12-13,AR,,,0.0725,0,0,missing,,,,No encontrada en CineNacional
1597807,Tangos de Plomo,Tangos de Plomo,2025,2025-12-13,2025-12-13,AR,,,0.0071,0,0,missing,,,,No encontrada en CineNacional
1597611,Diego Torres: Sinfónico,Diego Torres: Sinfónico,2025,2025-12-12,2025-12-12,AR,Disney+ Live,,0.4141,0,0,missing,,,,No encontrada en CineNacional
1492878,Yerba Mala,Yerba Mala,2025,2025-12-12,2025-12-12,AR,,"A comienzos de la década de 1900, Raúl, un gaucho silencioso, es injustamente desterrado de su pueblo por órdenes de Quiroga, el hombre más poderoso de la región. El exilio lo transforma, endurece su ",0.0785,0,0,missing,,,,No encontrada en CineNacional
1594413,Tunun,Tunun,2025,2025-12-11,2025-12-11,AR,,,0,0,0,exists_by_title,197021,Tunun,2025,Match por título (100%)
1288316,Los ojos del abismo,Los ojos del abismo,2025,2025-12-11,2025-10-29,ES,Curtas Festival do Imaxinario,"Una soldado despierta en un buque de guerra lleno de cadáveres, con sus recuerdos fragmentados. Se embarca en un viaje peligroso, combatiendo adversarios y esforzándose por sobrevivir.",0.1723,8,1,exists_by_tmdb,197019,Los ojos del abismo,2025,Match por tmdb_id
1283965,DESBARRANCADA,DESBARRANCADA,2025,2025-12-11,2025-12-11,AR,,"Argentina, 1977. Gina enfrenta los rincones más oscuros de su matrimonio y de la sociedad. Desesperada por convertirse en madre, descubre los vínculos de su esposo con el régimen militar, enfrentando ",0.4935,0,0,exists_by_tmdb,194284,Desbarrancada,2025,Match por tmdb_id
1503386,MUNIEKHA,MUNIEKHA,2025,2025-12-10,2025-12-10,AR,,Una marioneta comienza a ser perseguida por un ente perturbador,0.0286,0,0,missing,,,,No encontrada en CineNacional
1595535,Zamba,Zamba,2025,2025-12-09,2025-12-09,AR,,,0.0509,0,0,missing,,,,No encontrada en CineNacional
1598382,Tres Acordes: Sobre sueños y taquiones,Tres Acordes: Sobre sueños y taquiones,2025,2025-12-08,2025-12-08,AR,,"Tres amigos de la infancia se ven atravesados por una crisis inesperada cuando el paso del tiempo empieza a hacerse notar y las cosas, casi sin avisar, dejan de ser como antes. Cambios, decisiones pen",0.0565,4.5,2,missing,,,,No encontrada en CineNacional
1594777,rocks,rocks,2025,2025-12-07,2025-12-07,US,,,0.0683,0,0,missing,,,,No encontrada en CineNacional
1589341,Detrás de la reja,Detrás de la reja,2025,2025-12-05,2025-12-05,AR,Festival de Cine de la Escuela Subiela,"Juan López está yendo a su primer partido de un torneo de pelota paleta como federado, pero está de suplente. Sin embargo hay una posibilidad de que entre a jugar.",0.2109,0,0,missing,,,,No encontrada en CineNacional
1589340,Silencio,Silencio,2025,2025-12-05,2025-12-05,AR,Festival de Cine de la Escuela Subiela,Parte de la programación del Festival de Cine de la Escuela Subiela,0.0538,0,0,missing,,,,No encontrada en CineNacional
1589327,Tu peor pesadilla,Tu peor pesadilla,2025,2025-12-05,2025-12-05,AR,Festival de Cine de la Escuela Subiela,Lucia le cuenta a su psicólogo las recurrentes pesadillas que tiene en las que se encuentra secuestrada por una familia de dementes sádicos.,0.0784,0,0,missing,,,,No encontrada en CineNacional
1589323,Crimen por crimen,Crimen por crimen,2025,2025-12-05,2025-12-05,AR,Festival de Cine de la Escuela Subiela,"La caminata de un chico se ve interrumpida por un sospecho que sigue sus pasos, el cual no logra perderlo. La huida se torna de vida o muerta cuando el sospechoso saca un cuchillo dejando ver sus inte",0,0,0,missing,,,,No encontrada en CineNacional
