tmdb_id,full_name,first_name,last_name,gender,reason,movie_title,role
5553500,"Suh Sang-bin","Suh","Sang-bin",NULL,"Primer nombre "Suh" no encontrado en base de datos","Hijo Mayor","cast"
1710202,"Louise Bellicaud","","",NULL,"Job no mapeado: "Co-Producer" (Production)","Hijo Mayor","Co-Producer"
1800941,"Claire Charles-Gervais","","",NULL,"Job no mapeado: "Co-Producer" (Production)","Hijo Mayor","Co-Producer"
2842345,"Mariana Ponisio","","",NULL,"Job no mapeado: "Line Producer" (Production)","Hijo Mayor","Line Producer"
2090986,"Yeo Siew Hua","","",NULL,"Job no mapeado: "Associate Producer" (Production)","Hijo Mayor","Associate Producer"
4408957,"Sandra Rojas","","",NULL,"Job no mapeado: "Associate Producer" (Production)","Hijo Mayor","Associate Producer"
4169686,"Nicolas Giorgis","","",NULL,"Job no mapeado: "Production Manager" (Production)","Hijo Mayor","Production Manager"
3551084,"Rémy Crouzet","","",NULL,"Job no mapeado: "Sound Editor" (Sound)","Hijo Mayor","Sound Editor"
5013951,"Lucia Benavente","","",NULL,"Job no mapeado: "Casting" (Production)","Hijo Mayor","Casting"
4161343,"Mateo Milione","","",NULL,"Job no mapeado: "Casting" (Production)","Hijo Mayor","Casting"
5553507,"Martina Pucheta","","",NULL,"Job no mapeado: "Makeup & Hair" (Costume & Make-Up)","Hijo Mayor","Makeup & Hair"
2519058,"Kang Sarah","Kang","Sarah",NULL,"Primer nombre "Kang" no encontrado en base de datos","Hijo Mayor","Producer"
1106194,"Jean-Guy Véran","Jean-Guy","Véran",NULL,"Primer nombre "Jean-Guy" no encontrado en base de datos","Hijo Mayor","Sound Mixer"
