ID,Título,Año,Director(es),Slug
925,"Los hipócritas",2019,"Santiago Sgarlatta, Carlos Ignacio Trioni, Darío Mascambroni, Orlando Zumpano",los-hipocritas-i
160872,"Los inocentes",1994,"Verónica Chen",los-inocentes-2-2
984,"Los inocentes",2016,"Mauricio Brunetti, Verónica Chen, Juan Antonio Bardem",los-inocentes-1
160874,"Los insomnes",1984,"Carlos Orgambide, Mario Iglesias",los-insomnes
988,"Los insomnes",Sin año,"Sebastián Miranda (II), Carlos Orgambide, Mario Iglesias",los-insomnes-2
160876,"Los muchachos de antes no usaban gomina",1936,"Manuel Romero",los-muchachos-de-antes-no-usaban-gomina
1459,"Los muchachos de antes no usaban gomina",1969,"Enrique Carreras, Manuel Romero",los-muchachos-de-antes-no-usaban-gomina-2
160878,"Los muertos",1919,"Francisco Defilippis Novoa",los-muertos
2747,"Los muertos",2004,"Lisandro Alonso, Manuel Nieto Zas",los-muertos-2
160880,"Los perros",2004,"Adrián Jaime",los-perros
160881,"Los perros",2017,"Marcela Said",los-perros-2
3265,"Los perros",2020,"Agustín Adba, Adrián Jaime",los-perros-i
160883,"Los últimos",2007,"Miguel Mirra",los-ultimos
8288,"Los últimos",2017,"Nicolás Puenzo, Miguel Mirra",los-ultimos-2
160885,"Lucía",1963,"Dick Ross",lucia
1127,"Lucía",1997,"Ignacio Masllorens",lucia-2
160887,"Luján",2004,"Andrés Denegri",lujan
3483,"Luján",2009,"Raúl Perrone",lujan-2
160889,"Madam Baterflai",2011,"Carina Sama",madam-baterflai
8023,"Madam Baterflai",2013,"Carina Sama",madam-baterflai-2
3523,"Magia",2004,"Maria Pérez Escala, Sergio Esquenazi",magia-2
160891,"Magia",2004,"Sergio Esquenazi",magia
160893,"Malón",2010,"Fabián Fattore",malon
7471,"Malón",Sin año,"Constanza Cabrera, Sofía Rozenwurcel, Lucila Podestá",malon-i
160898,"Manos",2004,"Claudio Bartel",manos
5753,"Manos",2005,"Juan Pablo Spitzer, Vito Saez",manos-2
160895,"Mañana",2004,"Federico Paladino, María Laura Bourges, José Luis Fernández (II)",manana
3951,"Mañana",2005,"Damián Fain, Federico Paladino, María Laura Bourges, José Luis Fernández (II), Paulina Barcat, Martín Muñiz",manana-3
160896,"Mañana",2005,"Augusto González Polo, Paulina Barcat, Martín Muñiz",manana-2
160900,"Mar del Plata",1949,"Arturo S. Mom",mar-del-plata
7460,"Mar del Plata",2012,"Ionathan Klajman, Sebastián Dietsch, Mariana Wainstein",mar-del-plata-2
160902,"Marcela",2000,"Juan Carlos Clemente",marcela
4841,"Marcela",2009,"Gastón Siriczman, Antonio Balseiro, Juan Carlos Clemente",marcela-3
160903,"Marcela",2012,"Antonio Balseiro",marcela-2
5735,"Marea",2009,"Ximena González, Brenda Urlacher, Luz Orlando Brennan, Maxi Estomba, Maximiliano Estomba, Silvana Lopa",marea-2
160905,"Marea",2013,"Brenda Urlacher, Luz Orlando Brennan, Maxi Estomba, Maximiliano Estomba, Silvana Lopa",marea
5093,"María",2012,"Mónica Lairana, Tamara Viñes",maria-2
160907,"María",Sin año,"Martín Desalvo",maria
5929,"Mario",2006,"Alu Arbio",mario-2
160909,"Mario",Sin año,"Sin director",mario
10013,"Marquetalia",2020,"Hernán Virués",marquetalia
161686,"Marquetalia",2022,"Laura Linares",marquetalia-2
160914,"Martín Fierro",1923,"Alfredo Quesada (II), Josué Quesada",martin-fierro-2
160913,"Martín Fierro",1968,"Leopoldo Torre Nilsson, Jorge Luis Salmoiraghi",martin-fierro
1214,"Martín Fierro",1989,"Fernando Laverde, Leopoldo Torre Nilsson, Josué Quesada, Jorge Luis Salmoiraghi",martin-fierro-3
1255,"Mateo",1925,"Julio Irigoyen",mateo-2
160916,"Mateo",1937,"Daniel Tinayre",mateo
3817,"Medianeras",2004,"Gustavo Taretto, Silvana Savastano, Cristian Pellegrini, Verónica Bruno",medianeras-2
160918,"Medianeras",2011,"Gustavo Taretto, Silvana Savastano, Cristian Pellegrini, Verónica Bruno",medianeras
