ID,Título,Año,Director(es),Slug
160318,"A",2005,"Gwenn Joyaux",a
5644,"A",2012,"Ignacio Dimattia, Gwenn Joyaux",a-2
160324,"Acorralados",2002,"Mariano Cattáneo, Ygnacio Cervio, Cristian Díaz (II)",acorralados
4559,"Acorralados",2010,"Julio Bove, Mariano Cattáneo, Ygnacio Cervio, Cristian Díaz (II)",acorralados-2
160326,"Adolescencia",1942,"Francisco Mugica",adolescencia
50,"Adolescencia",2011,"Guillermo Bergandi, Francisco Mugica",adolescencia-3
160332,"Agua",2003,"Ignacio Laxalde, Agustín Gregori, Bernardo Francese",agua-2-2
3018,"Agua",2006,"Martín San Pedro, Ignacio Laxalde, Verónica Chen, Agustín Gregori, Bernardo Francese",agua-3
160334,"Aire",1998,"Charlotta Lennartsdotter",aire
3136,"Aire",2018,"Arturo Castro Godoy, Charlotta Lennartsdotter",aire-i
160336,"Akelarre",2020,"Pablo Agüero",akelarre
9648,"Akelarre",2020,"Mila Belén Gallo, Pablo Agüero",akelarre-i
160340,"Alicia",2005,"Marina di Raimondo, Alejandro Zucco",alicia
160341,"Alicia",2010,"Tamara Viñes",alicia-2
4525,"Alicia",2018,"Alejandro Rath, Tamara Viñes, Marina di Raimondo, Alejandro Zucco",alicia-i
160343,"Allá lejos y hace tiempo",1969,"Ricardo Becher",alla-lejos-y-hace-tiempo
81,"Allá lejos y hace tiempo",1978,"Manuel Antin, Ricardo Becher",alla-lejos-y-hace-tiempo-2
98,"Amalia",1914,"Enrique García Velloso, Luis José Moglia Barth",amalia-2
160349,"Amalia",1936,"Luis José Moglia Barth",amalia
160353,"Ana",2006,"Gabriela Trettel",ana
6223,"Ana",2007,"Maximiliano Estomba, Gabriela Trettel",ana-2
160357,"Ánima",2008,"Brenda Urlacher",anima
6252,"Ánima",2015,"Clara Frías, Brenda Urlacher",anima-2
3879,"Aprendizaje",1985,"Julio César Otero Mancini, Gianfranco Quattrini",aprendizaje-2
160359,"Aprendizaje",1994,"Gianfranco Quattrini",aprendizaje
160367,"Asfixia",2006,"Federico Peretti",asfixia-2
4309,"Asfixia",2006,"Damián Leibovich, Federico Peretti",asfixia-3
160372,"Aula magna",2012,"Andrés Denegri",aula-magna-2
6707,"Aula magna",2014,"Andrés Denegri",aula-magna-3
160374,"Azul",1994,"Andrea Abdala",azul
4376,"Azul",2019,"Lucía Lalor, Andrea Abdala",azul-i
10311,"Bajo la superficie",1995,"Pablo Spátola",bajo-la-superficie-i
160376,"Bajo la superficie",2021,"Pablo Spátola",bajo-la-superficie
160378,"Bajo tierra",1985,"Rodrigo Fürth, Eduardo Ruderman",bajo-tierra
2991,"Bajo Tierra",2000,"Nicolás Aponte, Rodrigo Fürth, Eduardo Ruderman",bajo-tierra-2
160382,"Barcos de papel",1963,"Román Viñoly Barreto",barcos-de-papel
208,"Barcos de papel",2020,"Fernando Duarte, Román Viñoly Barreto",barcos-de-papel-i
4608,"Bigotes de chocolate",2005,"Grupo Humus, Agustín Gregori, Ignacio Laxalde",bigotes-de-chocolate-2
160386,"Bigotes de chocolate",2005,"Agustín Gregori, Ignacio Laxalde",bigotes-de-chocolate
160396,"Caíto",2004,"Guillermo Pfening, Chancha Ambrosini",caito
4105,"Caíto",2012,"Guillermo Pfening, Chancha Ambrosini",caito-2
4890,"Caleidoscopio",1969,"Eduardo Plá, Adrián Ochoa",caleidoscopio-3
160398,"Caleidoscopio",2001,"Adrián Ochoa",caleidoscopio
160403,"Caperucita Roja",1933,"Jorge Méndez Delfino",caperucita-roja
7464,"Caperucita roja",2019,"Tatiana Mazú, Jorge Méndez Delfino",caperucita-roja-i
160405,"Cartas",2006,"Paola Pelzmajer",cartas
5355,"Cartas",2018,"Mario Bomheker, Paola Pelzmajer",cartas-2
160407,"Cartas de amor",1951,"Mario C. Lugones",cartas-de-amor
349,"Cartas de amor",2005,"María Meira, Mario C. Lugones",cartas-de-amor-2
160409,"Casino",2001,"Clementina Barreiro",casino
5533,"Casino",2008,"Alejandro Cohen Arazi, Clementina Barreiro",casino-i
160415,"Cenizas",2006,"Lorena Silvariño",cenizas
160416,"Cenizas",2012,"Emiliano Cativa",cenizas-2
5925,"Cenizas",2019,"Gonzalo Mellid, Lorena Silvariño, Emiliano Cativa",cenizas-i
160418,"Chaco",2017,"Daniele Incalcaterra, Fausta Quattrini",chaco
160419,"Chaco",2017,"Ignacio Ragone, Juan Fernández Gebauer, Ulises de la Orden",chaco-i
9013,"Chaco",2020,"Diego Mondaca, Ignacio Ragone, Daniele Incalcaterra, Fausta Quattrini",chaco-ii
160427,"Circe",1964,"Manuel Antin",circe
413,"Circe",2009,"Andrew Sala, Manuel Antin",circe-2
4867,"Clandestino",2016,"Sofía Rocha, Rafael Beláustegui",clandestino-i
160429,"Clandestino",Sin año,"Rafael Beláustegui",clandestino
160437,"Constitución",2000,"Marcel Czombos",constitucion
160438,"Constitución",2013,"Melisa Brito Aller",constitucion-1
4549,"Constitución",2017,"Luciana Gentinetta, Melisa Brito Aller, Jimena Cantero, Marcel Czombos, Natalia Luz Ardissone",constitucion-i
160440,"Contrapunto",2002,"Leandro Brandimarte",contrapunto
5147,"Contrapunto",2008,"Federico Del Bueno, Leandro Brandimarte",contrapunto-2
160446,"Corazón Delator",1998,"Guillermina Rosales",corazon-delator
4259,"Corazón Delator",2002,"María Laura Bourges, Guillermina Rosales",corazon-delator-2
160448,"Cucaracha",1999,"Pablo Parés",cucaracha
4694,"Cucaracha",2020,"Augusto González Polo, Pablo Parés",cucaracha-i
4305,"Dame más",2001,"María Corpas, Daniela Kozak",dame-mas-2
160452,"Dame más",Sin año,"Daniela Kozak",dame-mas
160458,"Derecho viejo",1951,"Manuel Romero",derecho-viejo
613,"Derecho viejo",1998,"Mariano Llinás, Manuel Romero",derecho-viejo-2
160461,"Desayuno",1976,"Daniel Portela",desayuno-2
4625,"Desayuno",2000,"Guillermina Ortiz, Georgina Pretto, Daniel Portela",desayuno-3
160460,"Desayuno",2002,"Georgina Pretto",desayuno
2609,"Deseo",2000,"Roberto Camarra, Gerardo Vera",deseo-2
160463,"Deseo",2002,"Gerardo Vera",deseo
7630,"Desierto",2012,"Melisa Brito Aller, Baltazar Tokman",desierto-2
160465,"Desierto",2012,"Baltazar Tokman",desierto
160467,"Desmadre",2012,"Juan Pablo Martínez, Jazmín Stuart",desmadre
7072,"Desmadre",2018,"Sabrina Farji, Jazmín Stuart",desmadre-2
160470,"Despedida",1996,"Lucas Blanco",despedida-2
160469,"Despedida",2003,"Ana Katz",despedida
160471,"Despedida",2014,"María Alché",despedida-3
3655,"Despedida",2015,"Pablo Paniagua, Lucas Blanco, María Alché, Ana Katz",despedida-4
4600,"Después de recién",2004,"Grupo Humus, Ignacio Laxalde, Bernardo Francese",despues-de-recien-2
